,IATA,AIRPORT,STATE,State
89,AMA,Amarillo International,TX,Texas
90,APN,Alpena County Regional ,MI,Michigan
91,ART,Watertown Intl,NY,New York
92,ASE,Aspen-Pitkin Co Sardy ,CO,Colorado
93,ATW,Outagamie County Regional,WI,Wisconsin
94,AVL,Asheville Regional,NC,North Carolina
95,AVP,Wilkes-Barre Scranton Intl,PA,Pennsylvania
96,AZO,Kalamazoo County,MI,Michigan
97,BET,Bethel,AK,Alaska
98,BFL,Meadows ,CA,California
99,BGM,Binghamton Regional,NY,New York
100,BGR,Bangor International,ME,Maine
101,BIL,Billings Logan Intl,MT,Montana
102,BIS,Bismarck Municipal,ND,North Dakota
103,BJI,Bemidji-Beltrami County,MN,Minnesota
104,BLI,Bellingham Intl,WA,Washington
105,BMI,Central Illinois Regional,IL,Illinois
106,BOI,Boise Air Terminal,ID,Idaho
107,BPT,Southeast Texas Regional,TX,Texas
108,BQK,Glynco Jetport,GA,Georgia
109,BQN,Rafael Hernandez,PR,Puerto Rico
110,BRD,Brainerd-Crow Wing County Regional,MN,Minnesota
111,BRO,Brownsville S.Padre Island International,TX,Texas
112,BRW,Wiley Post Will Rogers Memorial,AK,Alaska
113,BTM,Bert Mooney,MT,Montana
114,BTR,Baton Rouge Metropolitan,LA,Louisiana
115,BTV,Burlington International,VT,Vermont
116,BZN,Gallatin ,MT,Montana
117,CAE,Columbia Metropolitan,SC,South Carolina
118,CAK,Akron-Canton Regional,OH,Ohio
119,CDC,Cedar City Muni,UT,Utah
120,CDV,Merle K (Mudhole) Smith,AK,Alaska
121,CEC,Jack McNamara ,CA,California
122,CHA,Lovell ,TN,Tennessee
123,CHO,Charlottesville-Albermarle,VA,Virginia
124,CIC,Chico Municipal,CA,California
125,CID,Eastern Iowa ,IA,Iowa
126,CIU,Chippewa County International,MI,Michigan
127,CLD,MC Clellan-Palomar Airport,,
128,CLL,Easterwood ,TX,Texas
129,CMI,University of Illinois-Willard,IL,Illinois
130,CMX,Houghton County Memorial,MI,Michigan
131,CNY,Canyonlands ,UT,Utah
132,COD,Yellowstone Regional,WY,Wyoming
133,COS,City of Colorado Springs Muni,CO,Colorado
134,COU,Columbia Regional,MO,Missouri
135,CPR,Natrona County Intl,WY,Wyoming
136,CRP,Corpus Christi International,TX,Texas
137,CRW,Yeager,WV,West Virginia
138,CSG,Columbus Metropolitan,GA,Georgia
139,CWA,Central Wisconsin,WI,Wisconsin
140,CYS,Cheyenne,WY,Wyoming
141,DAB,Daytona Beach International,FL,Florida
142,DAY,James M Cox Dayton Intl,OH,Ohio
143,DBQ,Dubuque Municipal,IA,Iowa
144,DHN,Dothan ,AL,Alabama
145,DIK,Dickinson Municipal,ND,North Dakota
146,DLG,Dillingham,AK,Alaska
147,DLH,Duluth International,MN,Minnesota
148,DRO,Durango-La Plata County,CO,Colorado
149,DRT,Del Rio International,TX,Texas
150,DSM,Des Moines International,IA,Iowa
151,DVL,Devils Lake Municipal-Knoke ,ND,North Dakota
152,EAU,Chippewa Valley Regional,WI,Wisconsin
153,EGE,Eagle County Regional,CO,Colorado
